Source page: https://www.congress.gov/help/field-values/member-bioguide-ids?loclr=bloglaw,,
member_value,bioguideid_value,
"Bartlett, Steve (Republican - Texas)",B000204,
"Barton, Joe (Republican - Texas)",B000213,
"Bass, Charles F. (Republican - New Hampshire)",B000220,
"Bass, Karen (Democratic - California)",B001270,
"Bateman, Herbert H. (Republican - Virginia)",B000229,
"Bates, Jim (Democratic - California)",B000236,
"Baucus, Max (Democratic - Montana)",B000243,
"Bauman, Robert E. (Republican - Maryland)",B000244,
"Bayh, Birch (Democratic - Indiana)",B000254,
"Bayh, Evan (Democratic - Indiana)",B001233,
"Beall, J. Glenn, Jr. (Republican - Maryland)",B000272,
"Bean, Melissa L. (Democratic - Illinois)",B001253,
"Beard, Edward (Democratic - Rhode Island)",B000279,
"Beard, Robin (Republican - Tennessee)",B000280,
"Beatty, Joyce (Democratic - Ohio)",B001281,
"Beauprez, Bob (Republican - Colorado)",B001240,
"Becerra, Xavier (Democratic - California)",B000287,
"Bedell, Berkley W. (Democratic - Iowa)",B000298,
"Begich, Mark (Democratic - Alaska)",B001265,
"Beilenson, Anthony C. (Democratic - California)",B000318,
"Bell, Alphonzo (Republican - California)",B000330,
"Bell, Chris (Democratic - Texas)",B001241,
"Bellmon, Henry L. (Republican - Oklahoma)",B000351,
"Benedict, Cleve (Republican - West Virginia)",B000358,
"Benishek, Dan (Republican - Michigan)",B001271,
"Benitez, Jamie (Democratic - Puerto Rico)",B000362,
"Benjamin, Adam, Jr. (Democratic - Indiana)",B000363,
"Bennet, Michael F. (Democratic - Colorado)",B001267,
"Bennett, Charles E. (Democratic - Florida)",B000371,
"Bennett, Robert F. (Republican - Utah)",B000382,
"Bennett, Wallace F. (Republican - Utah)",B000384,
"Bentivolio, Kerry L. (Republican - Michigan)",B001280,
"Bentley, Helen Delich (Republican - Maryland)",B000392,
"Bentsen, Ken (Democratic - Texas)",B000400,
"Bentsen, Lloyd M. (Democratic - Texas)",B000401,
"Bera, Ami (Democratic - California)",B001287,
"Bereuter, Doug (Republican - Nebraska)",B000403,
"Berg, Rick (Republican - North Dakota)",B001272,
"Bergland, Bob (Republican - Minnesota)",B000408,
"Berkley, Shelley (Democratic - Nevada)",B001231,
"Berman, Howard L. (Democratic - California)",B000410,
"Berry, Marion (Democratic - Arkansas)",B000420,
"Bethune, Ed (Republican - Arkansas)",B000422,
"Bevill, Tom (Democratic - Alabama)",B000431,
"Beyer, Donald S., Jr. (Democratic - Virginia)",B001292,
"Biaggi, Mario (Democratic - New York)",B000432,
"Bible, Alan (Democratic - Nevada)",B000436,
"Biden, Joseph R., Jr. (Democratic - Delaware)",B000444,
"Biester, Edward G., Jr. (Republican - Pennsylvania)",B000451,
"Biggert, Judy (Republican - Illinois)",B001232,
"Bilbray, Brian P. (Republican - California)",B000461,
"Bilbray, James H. (Democratic - Nevada)",B000462,
"Bilirakis, Gus M. (Republican - Florida)",B001257,
"Bilirakis, Michael (Republican - Florida)",B000463,
"Bingaman, Jeff (Democratic - New Mexico)",B000468,
"Bingham, Jonathan B. (Democratic - New York)",B000472,
"Bishop, Mike (Republican - Michigan)",B001293,
"Bishop, Rob (Republican - Utah)",B001250,
"Bishop, Sanford D., Jr. (Democratic - Georgia)",B000490,
"Bishop, Timothy H. (Democratic - New York)",B001242,
"Black, Diane (Republican - Tennessee)",B001273,
"Blackburn, Ben (Republican - Georgia)",B000506,
"Blackburn, Marsha (Republican - Tennessee)",B001243,
"Blackwell, Lucien E. (Democratic - Pennsylvania)",B000517,
"Blagojevich, Rod R. (Democratic - Illinois)",B000518,
"Blanchard, James (Democratic - Michigan)",B000538,
"Blatnik, John Anton (Democratic - Minnesota)",B000550,
"Blaz, Ben G. (Republican - Guam)",B000551,
"Bliley, Tom (Republican - Virginia)",B000556,
"Blouin, Michael (Democratic - Iowa)",B000567,
"Blum, Rod (Republican - Iowa)",B001294,
"Blumenauer, Earl (Democratic - Oregon)",B000574,
"Blumenthal, Richard (Democratic - Connecticut)",B001277,
"Blunt, Roy (Republican - Missouri)",B000575,
"Blute, Peter I. (Republican - Massachusetts)",B000576,
"Boccieri, John A. (Democratic - Ohio)",B001263,
"Boehlert, Sherwood (Republican - New York)",B000586,
"Boehner, John A. (Republican - Ohio)",B000589,
"Boggs, Corinne C. (Lindy) (Democratic - Louisiana)",B000592,
"Boland, Edward P. (Democratic - Massachusetts)",B000600,
"Bolling, Richard (Democratic - Missouri)",B000605,
"Bonamici, Suzanne (Democratic - Oregon)",B001278,
"Bond, Christopher S. (Republican - Missouri)",B000611,
"Boner, William H. (Democratic - Tennessee)",B000615,
"Bonilla, Henry (Republican - Texas)",B000617,
"Bonior, David E. (Democratic - Michigan)",B000619,
"Bonker, Don (Democratic - Washington)",B000620,
"Bonner, Jo (Republican - Alabama)",B001244,
"Bono Mack, Mary (Republican - California)",B001228,
"Bono, Sonny (Republican - California)",B000622,
"Booker, Cory A. (Democratic - New Jersey)",B001288,
"Boozman, John (Republican - Arkansas)",B001236,
"Bordallo, Madeleine Z. (Democratic - Guam)",B001245,
"Boren, Dan (Democratic - Oklahoma)",B001254,
"Boren, David L. (Democratic - Oklahoma)",B000639,
